node1	label	node2
n1:Interaction9	n1:objectOfAction	n1:Robot1
n1:Interaction9	n3:comment	'¿Cuál es la temperatura actual?'@es
n1:Interaction9	n4:date	^2024-07-17T10:40:00Z
n1:Response9	n2:type	n5:Action
n1:Response9	n1:performedBy	n1:Robot1
n1:Response9	n1:objectOfAction	n1:Human1
n1:Response9	n1:responseTo	n1:Interaction9
n1:Response9	n3:comment	'La temperatura actual es 22 grados Celsius.'@es
n1:Response9	n1:detectedEmotion	n1:Happy
n1:Response9	n4:date	^2024-07-17T10:40:30Z
n1:Interaction10	n2:type	n5:Action
n1:Interaction10	n1:performedBy	n1:Human2
n1:Interaction10	n1:objectOfAction	n1:Robot1
n1:Interaction10	n3:comment	'¿Puedes apagar la luz?'@es
n1:Interaction10	n4:date	^2024-07-17T10:45:00Z
n1:Response10	n2:type	n5:Action
n1:Response10	n1:performedBy	n1:Robot1
n1:Response10	n1:objectOfAction	n1:Human2
n1:Response10	n1:responseTo	n1:Interaction10
n1:Response10	n3:comment	'No.'@es
n1:Response10	n1:detectedEmotion	n1:Sad
n1:Response10	n4:date	^2024-07-17T10:45:30Z
n1	prefix_expansion	"http://kb.openrobots.org#"
n2	prefix_expansion	"http://www.w3.org/1999/02/22-rdf-syntax-ns#"
n3	prefix_expansion	"http://www.w3.org/2000/01/rdf-schema#"
n4	prefix_expansion	"http://purl.org/dc/elements/1.1/"
n5	prefix_expansion	"http://sw.opencyc.org/concept/"
