id,Model Year,Make,Model,Vehicle Class,Engine Size (L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Hwy (L/100 km),Comb (L/100 km),Comb (mpg),CO2 Emissions (g/km),Smog
48f52875355,2022,Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,6.2,8,A10,Z,16.5,13.2,15.0,19,352,3
6c400dc0350,2022,Kia,Sorento AWD,SUV: Small,2.5,4,AS8,X,10.1,9.2,9.7,29,227,2
1c11e32e207,2022,Mercedes-Benz,GLS 450 4MATIC SUV,SUV: Standard,3.0,6,A9,Z,12.8,10.0,11.5,25,269,3
ba48b158193,2022,Porsche,911 Carrera S,Minicompact,3.0,6,M7,Z,12.8,9.4,11.3,25,264,2
ee54a7306ea,2022,Infiniti,QX50 AWD,SUV: Small,2.0,4,AV8,Z,10.8,8.3,9.7,29,228,3
69d5d6b57b5,2022,Land Rover,New Range Rover P400 LWB,SUV: Standard,3.0,6,AS8,Z,13.0,9.1,11.3,25,265,4
db2817fb196,2022,Land Rover,Range Rover Sport HST P400,SUV: Standard,3.0,6,AS8,Z,12.7,9.9,11.4,25,269,4
6a1f7b363fc,2022,Chevrolet,Camaro,Subcompact,2.0,4,M6,Z,12.6,8.0,10.5,27,239,2
6e2802268ba,2022,Maserati,Quattroporte Trofeo,Full-size,3.8,8,A8,Z,17.4,11.9,14.9,19,348,0
5f7536da122,2022,Lexus,LC 500 Convertible,Minicompact,5.0,8,AS10,Z,16.0,9.5,13.0,22,304,2
4ee8ba5a71b,2022,Lamborghini,Huracan evo Spyder,Two-seater,5.2,10,AM7,Z,18.0,12.9,15.7,18,371,0
08c696af1a9,2022,Toyota,Highlander AWD,SUV: Small,3.5,6,AS8,X,11.8,8.6,10.3,27,241,2
7bc896c03fe,2022,Jaguar,E-PACE P250,SUV: Small,2.0,4,AS9,Z,11.5,9.2,10.4,27,247,4
4aa8e668727,2022,Cadillac,Escalade 4WD (No Stop-Start),SUV: Standard,6.2,8,A10,Z,17.0,12.7,15.1,19,353,3
d689d1d1f08,2022,Chevrolet,Traverse AWD,SUV: Standard,3.6,6,A9,X,13.6,9.6,11.8,24,277,3
65dd2adb1b3,2022,Lexus,NX 350 AWD F SPORT,SUV: Small,2.4,4,AS8,Z,10.5,8.4,9.5,30,222,4
1d5f636cf97,2022,Ram,1500 4X4 eTorque,Pickup truck: Standard,5.7,8,A8,X,13.4,10.5,12.1,23,284,2
096cc14d058,2022,Porsche,718 Cayman GT4,Two-seater,4.0,6,M6,Z,14.0,10.1,12.2,23,286,2
5264aaf857f,2022,Genesis,GV70 AWD,SUV: Small,2.5,4,AS8,Z,10.7,8.4,9.7,29,229,2
c2d2e584ba6,2022,GMC,Sierra 4WD (No Stop-Start),Pickup truck: Standard,6.2,8,A10,Z,16.6,12.3,14.7,19,345,3
4b8127fbf58,2022,BMW,430i xDrive Cabriolet,Subcompact,2.0,4,AS8,Z,10.0,7.1,8.7,32,202,4
5d8d2afea71,2022,BMW,X3 xDrive30i,SUV: Small,2.0,4,AS8,Z,11.0,8.5,9.9,29,230,4
5c45af0be5b,2022,Porsche,718 Boxster S,Two-seater,2.5,4,AM7,Z,12.2,9.2,10.9,26,255,0
58520d7e75d,2022,Kia,Forte 5,Full-size,2.0,4,AV,X,8.0,6.0,7.1,40,169,2
2e6dd13245e,2022,GMC,Sierra,Pickup truck: Standard,3.0,6,A10,D,10.2,7.8,9.1,31,245,1
309f87bc4b1,2022,BMW,M8 Coupe Competition,Subcompact,4.4,8,AS8,Z,16.1,11.0,13.8,20,322,1
4cc4b2123de,2022,BMW,X3 M,SUV: Small,3.0,6,AS8,Z,15.7,11.7,13.9,20,323,1
cec26ab4ee9,2022,GMC,Yukon,SUV: Standard,3.0,6,A10,D,11.2,8.7,10.1,28,272,1
cd74540656f,2022,Jeep,Grand Wagoneer 4X4,SUV: Standard,6.4,8,A8,Z,18.6,12.8,16.0,18,374,0
013e56a1fa8,2022,GMC,Sierra 4WD Mud Terrain Tire,Pickup truck: Standard,5.3,8,A10,X,16.6,14.0,15.4,18,360,3
fefd0f278e0,2022,BMW,M4 Competition Coupe M xDrive,Subcompact,3.0,6,AS8,Z,14.6,10.5,12.7,22,296,2
fbbcebc9b93,2022,Kia,Niro FE,Station wagon: Small,1.6,4,AM6,X,4.4,4.9,4.6,61,110,4
a1a685d77b1,2022,BMW,M4 Competition Cabriolet M xDrive,Subcompact,3.0,6,AS8,Z,15.1,10.4,12.9,22,301,2
a685008b447,2022,Ford,F-150 Tremor 4X4,Pickup truck: Standard,3.5,6,AS10,X,14.3,11.8,13.2,21,310,3
edde1dd2278,2022,Volvo,S60 B5,Compact,2.0,4,AS8,Z,9.0,6.7,8.0,35,186,2
99744cd4e0c,2022,Toyota,C-HR,Compact,2.0,4,AS7,X,8.7,7.5,8.2,34,189,1
949bba6840d,2022,Toyota,Corolla,Compact,2.0,4,AV10,X,7.6,5.9,6.8,42,159,4
cf91be881ba,2022,Porsche,Panamera 4 Executive,Full-size,2.9,6,AM8,Z,13.8,10.2,12.2,23,289,2
9b14466feb3,2022,Land Rover,Defender 110 5.0L V8,SUV: Standard,5.0,8,AS8,Z,16.4,12.7,14.7,19,350,1
9559cc09fed,2022,Land Rover,Range Rover Sport P575 SVR,SUV: Standard,5.0,8,AS8,Z,16.2,12.0,14.3,20,336,1
1c038cd7219,2022,BMW,M440i xDrive Coupe,Subcompact,3.0,6,AS8,Z,10.4,7.7,9.2,31,214,2
ce530d88793,2022,Alfa Romeo,Giulia AWD,Mid-size,2.0,4,A8,Z,10.5,7.7,9.2,31,217,1
0b297c6f5ac,2022,GMC,Sierra 4WD Mud Terrain Tire,Pickup truck: Standard,2.7,4,A8,X,14.7,13.1,14.0,20,328,3
c79111dc10a,2022,Porsche,Panamera Turbo S Executive,Full-size,4.0,8,AM8,Z,15.3,11.2,13.5,21,326,1
2900c2e6b2a,2022,Audi,R8 Spyder Performance,Two-seater,5.2,10,AM7,Z,16.7,10.3,13.8,20,322,0
19419706fbd,2022,Audi,R8 Coupe Performance quattro,Two-seater,5.2,10,AM7,Z,17.9,12.1,15.3,18,356,0
15ad1cc8c4e,2022,Ford,F-150 4X4 FFV,Pickup truck: Standard,5.0,8,AS10,E,21.2,14.2,18.1,16,301,2
1930ad3b9d9,2022,Cadillac,XT5 AWD,SUV: Small,2.0,4,AS9,Z,11.2,8.7,10.1,28,237,4
2f770a86304,2022,Toyota,Corolla,Compact,1.8,4,AV,X,7.9,6.2,7.1,40,166,2
d044083bbd5,2022,Ram,1500 EcoDiesel,Pickup truck: Standard,3.0,6,A8,D,10.5,7.3,9.0,31,243,0
27ba7ff78c2,2022,Land Rover,New Range Rover P400,SUV: Standard,3.0,6,AS8,Z,13.0,9.1,11.3,25,265,4
2c3628c0a03,2022,Porsche,911 GT3 Touring,Two-seater,4.0,6,AM7,Z,15.7,12.7,14.4,20,335,1
f60ce250af3,2022,BMW,M760i xDrive Sedan,Full-size,6.6,12,AS8,Z,17.8,11.9,15.1,19,354,1
e31f5a932df,2022,GMC,Yukon XL,SUV: Standard,5.3,8,A10,X,15.8,11.8,14.0,20,327,3
2cb6afd0500,2022,Chevrolet,Camaro,Subcompact,3.6,6,M6,X,14.4,9.1,12.0,24,281,3
d5f84482550,2022,Honda,Civic Sedan,Mid-size,2.0,4,AV7,X,7.8,6.3,7.1,40,165,4
68dabc896cb,2022,GMC,Terrain AWD,SUV: Small,1.5,4,A9,X,9.6,8.3,9.0,31,212,4
e8807aabca3,2022,Lincoln,Corsair AWD,SUV: Small,2.3,4,AS8,X,11.2,8.3,9.9,29,232,2
9d0256ba083,2022,Volvo,XC60 B6 AWD,SUV: Small,2.0,4,AS8,Z,11.0,8.7,9.9,29,232,4
829e8bd172d,2022,Maserati,Levante Modena,SUV: Standard,3.0,6,A8,Z,15.1,10.9,13.2,21,308,1
21903709175,2022,Chevrolet,Camaro,Subcompact,3.6,6,AS10,X,12.8,8.1,10.7,26,251,3
7e23f89d680,2022,GMC,Sierra 4WD,Pickup truck: Standard,2.7,4,A8,X,13.9,12.0,13.1,22,306,3
b2dc00a4ead,2022,Mazda,CX-9 4WD,SUV: Small,2.5,4,AS6,X,11.6,9.0,10.4,27,243,2
845d3edc786,2022,Toyota,Camry LE/SE,Mid-size,2.5,4,AS8,X,8.5,6.1,7.4,38,174,4
845482e9634,2022,Toyota,Sienna AWD,Minivan,2.5,4,AV,X,6.8,6.6,6.7,42,158,4
d52484900dd,2022,Mazda,Mazda3 5-Door,Mid-size,2.5,4,AS6,X,9.1,6.8,8.1,35,190,4
3de7455bdea,2022,GMC,Canyon,Pickup truck: Small,2.5,4,A6,X,12.2,9.4,10.9,26,257,3
ed0cecb4f90,2022,Toyota,RAV4 AWD TRD Off-Road,SUV: Small,2.5,4,AS8,X,9.5,7.4,8.5,33,200,3
9493b1f5223,2022,Dodge,Challenger,Mid-size,3.6,6,A8,X,12.4,7.8,10.3,27,242,2
2b669fa5ac0,2022,Jeep,Grand Wagoneer 4X4,SUV: Standard,3.0,6,A8,Z,16.3,11.8,14.3,20,334,2
bf3fcd23fbe,2022,Ford,F-150 Raptor 37 4X4 (Without Stop-Start),Pickup truck: Standard,3.5,6,AS10,X,16.6,14.8,15.8,18,370,3
1bca77d0681,2022,Toyota,Corolla Apex Edition,Compact,2.0,4,AV10,X,7.7,6.2,7.0,40,164,4
37d52f1ed40,2022,Alfa Romeo,Stelvio AWD Quadrifoglio,SUV: Small,2.9,6,A8,Z,13.9,10.3,12.3,23,288,1
cd3dbf88744,2022,Acura,NSX,Two-seater,3.5,6,AM9,Z,11.1,10.8,11.0,26,256,1
e74279737ec,2022,Jaguar,F-PACE SVR,SUV: Small,5.0,8,AS8,Z,15.5,11.0,13.5,21,316,1
c8326979566,2022,Chrysler,Pacifica AWD,Minivan,3.6,6,A9,X,14.1,9.4,12.0,24,279,2
c75521cbef8,2022,Jeep,Wrangler JL 4X4,SUV: Small,3.6,6,A8,X,12.8,10.4,11.8,24,274,4
2c422472431,2022,MINI,Cooper S Convertible,Minicompact,2.0,4,M6,Z,10.1,7.1,8.8,32,205,4
9de9bdc73a0,2022,MINI,John Cooper Works 3 Door,Subcompact,2.0,4,M6,Z,10.5,7.3,9.1,31,211,4
42fb2ad4249,2022,Ram,1500 HFE EcoDiesel,Pickup truck: Standard,3.0,6,A8,D,10.4,7.1,8.9,32,238,0
8982f845526,2022,GMC,Sierra,Pickup truck: Standard,5.3,8,A8,X,15.1,11.3,13.4,21,314,3
638fb875dfb,2022,Chevrolet,Silverado 4WD Custom Trail Boss,Pickup truck: Standard,6.2,8,A10,Z,16.5,13.2,15.0,19,352,3
dedbc070abc,2022,Chevrolet,Camaro SS,Subcompact,6.2,8,AS10,Z,14.6,8.9,12.0,24,281,0
6fdbf6463bf,2022,Ford,Bronco Sasquatch 4WD,SUV: Small,2.3,4,M7,X,13.8,13.1,13.5,21,317,2
c007bc02569,2022,Toyota,Camry XSE,Mid-size,2.5,4,AS8,X,8.6,6.3,7.6,37,178,4
9b0066b703e,2022,Ford,F-150 4X4 FFV,Pickup truck: Standard,3.3,6,AS10,X,12.6,10.7,11.8,24,277,3
c40a41372fa,2022,Porsche,718 Boxster GTS 4.0,Two-seater,4.0,6,AM7,Z,12.3,9.8,11.1,25,260,2
9b51944dd96,2022,Acura,TLX Type S (Performance Tire),Compact,3.0,6,AS10,Z,12.3,9.8,11.2,25,261,2
f0f7ec343ba,2022,Chevrolet,Trax,SUV: Small,1.4,4,AS6,X,9.7,7.3,8.6,33,201,4
3cf3dc02f95,2022,Audi,A4 Sedan 40 TFSI quattro,Compact,2.0,4,AM7,Z,9.1,7.0,8.2,34,190,2
2224e4a6f3b,2022,Ford,Mustang Mach 1,Subcompact,5.0,8,AS10,X,15.2,10.1,12.9,22,302,1
9418e065961,2022,Chevrolet,Silverado 4WD (No Stop-Start),Pickup truck: Standard,6.2,8,A10,Z,16.6,12.3,14.7,19,345,3
05066d6ecbc,2022,Mercedes-Benz,GLE 450 4MATIC Coupe,SUV: Standard,3.0,6,A9,Z,11.7,9.2,10.5,27,247,3
fe7f08ab2cd,2022,Toyota,Corolla Cross,SUV: Small,2.0,4,AV10,X,7.6,7.0,7.3,39,171,4
d8f5805b3b5,2022,Volkswagen,Passat,Mid-size,2.0,4,AS6,X,9.7,6.6,8.3,34,196,4
9c726ac6ec7,2022,Land Rover,Defender 90 P300,SUV: Standard,2.0,4,AS8,Z,13.2,11.3,12.3,23,289,4
8cb94ef4510,2022,Ford,GT,Two-seater,3.5,6,AM7,Z,19.9,12.8,16.7,17,395,1
31b8b996584,2022,GMC,Yukon XL 4WD,SUV: Standard,6.2,8,A10,Z,16.3,12.7,14.7,19,345,3
8dd560ac57c,2022,Jeep,Wrangler JL Unlimited 4X4,SUV: Small,3.6,6,A8,X,12.9,10.2,11.7,24,275,4
390bee70b05,2022,Porsche,911 Carrera 4 GTS,Minicompact,3.0,6,AM8,Z,13.8,10.1,12.1,23,288,2
125ff15d348,2022,Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,2.7,4,A8,X,14.7,13.1,14.0,20,328,3
f1d0bd5f614,2022,Lexus,LS 500h AWD,Mid-size,3.5,6,AV10,Z,10.1,8.1,9.2,31,216,4
0bb51fa56c6,2022,BMW,M440i xDrive Cabriolet,Subcompact,3.0,6,AS8,Z,10.4,7.4,9.1,31,211,2
b26ddaaab4b,2022,Kia,Forte,Mid-size,2.0,4,M6,X,8.8,6.1,7.6,37,178,2
990ee624b73,2022,Bentley,Continental GT Speed,Subcompact,6.0,12,AM8,Z,19.6,12.0,16.2,17,379,1
cdefbc5875c,2022,Porsche,718 Boxster,Two-seater,2.0,4,AM7,Z,11.0,8.7,10.0,28,233,0
4f4537984bc,2022,Ford,Bronco Badlands 4WD,SUV: Small,2.7,6,AS10,X,14.1,14.1,14.1,20,331,3
a1577f0bce5,2022,Porsche,718 Boxster GTS 4.0,Two-seater,4.0,6,M6,Z,14.0,10.0,12.2,23,284,2
75d6cb54acd,2022,Honda,Accord Sport/Touring,Full-size,1.5,4,AV7,X,8.1,6.8,7.5,38,176,4
c323ea17d77,2022,Cadillac,CT5,Mid-size,2.0,4,AS10,Z,10.3,7.1,8.8,32,207,4
d97037a0c40,2022,BMW,430i xDrive Coupe,Subcompact,2.0,4,AS8,Z,10.0,7.1,8.7,32,202,4
aa44daf6f75,2022,Mercedes-Benz,GLC 300 4MATIC Coupe,SUV: Small,2.0,4,A9,Z,11.5,8.5,10.1,28,237,3
53c4ae1a4af,2022,Honda,CR-V,SUV: Small,1.5,4,AV,X,8.3,7.0,7.7,37,180,3
25e782d1d84,2022,Chevrolet,Colorado 4WD,Pickup truck: Small,3.6,6,A8,X,14.0,9.9,12.1,23,283,3
b8a32a5bd09,2022,Dodge,Charger (MDS),Full-size,6.4,8,A8,Z,15.8,9.6,13.0,22,305,0
aeecef5c01e,2022,Chevrolet,Tahoe,SUV: Standard,3.0,6,A10,D,11.0,8.4,9.8,29,263,1
ad30b83ec16,2022,Infiniti,Q50 AWD Red Sport,Mid-size,3.0,6,AS7,Z,12.5,9.3,11.1,25,261,1
b270289ffdd,2022,BMW,X4 xDrive30i,SUV: Small,2.0,4,AS8,Z,11.0,8.5,9.9,29,230,4
210eb94b4a1,2022,Porsche,911 Carrera Cabriolet,Minicompact,3.0,6,AM8,Z,13.1,9.8,11.6,24,275,2
88c0c1a94b7,2022,Jeep,Cherokee 4X4 Active Drive I,SUV: Small,3.2,6,A9,X,12.2,8.6,10.6,27,249,2
658d98d1bca,2022,Porsche,718 Cayman S,Two-seater,2.5,4,M6,Z,12.5,9.6,11.2,25,263,0
24e1d5db81d,2022,Land Rover,Defender 110 P300,SUV: Standard,2.0,4,AS8,Z,14.2,11.7,13.0,22,306,4
475062365c3,2022,BMW,X6 M,SUV: Standard,4.4,8,AS8,Z,17.9,13.0,15.7,18,364,1
3b0d31609a6,2022,BMW,X3 M40i,SUV: Small,3.0,6,AS8,Z,11.2,9.1,10.3,27,241,2
8f5b1f57f82,2022,Hyundai,Santa Fe AWD,SUV: Small,2.5,4,AS8,X,10.6,9.3,10.0,28,235,4
0cf5053a03c,2022,Mercedes-Benz,AMG A 35 4MATIC Hatch,Station wagon: Small,2.0,4,AM7,Z,10.8,7.8,9.4,30,221,2
052570dfc59,2022,Audi,S8 Sedan quattro,Full-size,4.0,8,AS8,Z,16.9,10.2,13.8,20,323,1
a31b8a1b8b8,2022,Mazda,Mazda3 4-Door 4WD,Compact,2.5,4,AS6,X,9.5,7.2,8.5,33,199,4
8b27437b7f2,2022,Subaru,Legacy AWD,Full-size,2.4,4,AV8,X,9.9,7.3,8.7,32,205,1
945961c20c0,2022,Ford,Transit Connect Wagon LWB,Special purpose vehicle,2.5,4,AS6,X,12.1,9.0,10.6,27,249,2
fa32d9c7b75,2022,Dodge,Challenger SRT Hellcat Widebody,Mid-size,6.2,8,M6,Z,18.1,11.4,15.1,19,352,0
94c117a5a23,2022,Audi,RS 5 Sportback quattro,Mid-size,2.9,6,AS8,Z,13.1,9.4,11.4,25,268,2
1aac2727871,2022,Ford,Mustang,Subcompact,5.0,8,M6,X,16.1,10.1,13.4,21,314,1
e16275c108c,2022,Chevrolet,Malibu,Mid-size,2.0,4,A9,Z,10.7,7.1,9.1,31,213,2
953bb0b3da6,2022,Volvo,XC90 T6 AWD,SUV: Standard,2.0,4,AS8,Z,12.4,8.9,10.8,26,252,4
69112628860,2022,Porsche,911 Carrera 4 GTS,Minicompact,3.0,6,M7,Z,13.8,10.2,12.2,23,289,2
aa7530537da,2022,Ram,1500 Classic 4X4,Pickup truck: Standard,5.7,8,A8,X,16.2,11.6,14.1,20,330,1
5eff63c06d7,2022,Dodge,Challenger Widebody (MDS),Mid-size,6.4,8,A8,Z,15.8,9.6,13.0,22,305,0
a6148a29458,2022,Honda,Civic Sedan,Mid-size,2.0,4,AV,X,7.7,6.0,6.9,41,162,4
2125f108d8d,2022,Mercedes-Benz,AMG GLE 63 S 4MATIC+ SUV,SUV: Standard,4.0,8,A9,Z,16.2,12.6,14.6,19,341,2
c00126bead0,2022,Ford,Expedition Timberline 4X4,SUV: Standard,3.5,6,AS10,X,14.5,12.3,13.5,21,317,3
133e539cd0d,2022,Ford,Maverick AWD,Pickup truck: Small,2.0,4,A8,X,10.7,8.1,9.6,29,226,2
af89d952bbe,2022,Toyota,Tundra 4WD TRD,Pickup truck: Standard,3.4,6,AS10,X,13.5,10.6,12.2,23,286,2
e1429e34278,2022,Cadillac,CT4-V,Compact,2.7,4,AS10,Z,11.9,8.2,10.2,28,239,3
ec5d275dd0a,2022,BMW,X5 M50i,SUV: Standard,4.4,8,AS8,Z,14.4,10.6,12.7,22,302,1
99af29f8600,2022,Subaru,Ascent AWD,SUV: Standard,2.4,4,AV8,X,11.7,9.0,10.5,27,245,1
b29976d907b,2022,Audi,S3 Sedan quattro,Subcompact,2.0,4,AM7,Z,10.0,7.2,8.8,32,206,2
3a57a62b7be,2022,Ford,Mustang Convertible,Subcompact,2.3,4,M6,X,11.8,8.6,10.4,27,244,2
0c43c4227fe,2022,Toyota,Camry AWD XSE,Mid-size,2.5,4,AS8,X,9.5,7.0,8.4,34,195,3
31390b9181e,2022,Buick,Encore GX AWD,SUV: Small,1.3,3,A9,X,9.0,8.3,8.6,33,202,4
84fba9d1149,2022,Hyundai,Palisade AWD,SUV: Standard,3.8,6,AS8,X,12.3,9.6,11.1,25,265,2
c24013455f7,2022,GMC,Sierra 4WD FFV,Pickup truck: Standard,5.3,8,A6,X,16.5,12.8,14.8,19,347,1
0bff6a76880,2022,Lexus,IS 500,Compact,5.0,8,AS8,Z,14.1,9.3,11.9,24,280,2
1823f62ea13,2022,Ford,F-150 FFV,Pickup truck: Standard,5.0,8,AS10,E,20.8,14.3,17.9,16,298,2
95d8c19840f,2022,Aston Martin,DBX V8,SUV: Standard,4.0,8,A9,Z,16.8,11.9,14.6,19,343,2
46cc3cdfa7e,2022,Porsche,718 Cayman S,Two-seater,2.5,4,AM7,Z,12.2,9.2,10.9,26,255,0
7a1ba5a9475,2022,Porsche,Panamera Turbo S ST,Full-size,4.0,8,AM8,Z,15.3,11.2,13.5,21,326,1
9a911b94510,2022,Porsche,718 Cayman T,Two-seater,2.0,4,M6,Z,11.7,8.9,10.5,27,245,0
395882efe96,2022,GMC,Sierra 4WD (With Sport Mode),Pickup truck: Standard,5.3,8,A10,X,15.4,12.3,14.0,20,329,3
99444e97313,2022,Jeep,Wrangler JL Unlimited 4X4 Rubicon EcoDiesel,SUV: Small,3.0,6,A8,D,11.2,9.0,10.2,28,275,0
ead75b0d492,2022,Lexus,ES 350 F SPORT,Mid-size,3.5,6,AS8,X,10.9,7.5,9.4,30,219,2
1e8cb37e904,2022,Audi,Q7 45 TFSI quattro,SUV: Standard,2.0,4,AS8,Z,12.0,9.4,10.8,26,252,1
ce57b4ff8ed,2022,Chevrolet,Camaro,Subcompact,2.0,4,AS8,Z,10.9,7.8,9.5,30,222,2
f374bb20208,2022,Chevrolet,Trailblazer,SUV: Small,1.3,3,AV,X,8.0,7.2,7.6,37,178,4
5b867cafcd1,2022,Porsche,911 Carrera 4S Cabriolet,Minicompact,3.0,6,M7,Z,13.8,9.8,12.0,24,281,2
ccc470e1a6d,2022,Mazda,CX-3 (SIL),Compact,2.0,4,M6,X,8.8,7.0,8.0,35,186,1
386a1216ca7,2022,MINI,Cooper S 5 Door,Subcompact,2.0,4,AM7,Z,8.5,6.2,7.5,38,174,4
b98f8b7843d,2022,Porsche,Cayenne Turbo Coupe,SUV: Standard,4.0,8,AS8,Z,15.9,12.0,14.1,20,330,1
924ddd11a24,2022,Cadillac,CT5,Mid-size,3.0,6,AS10,Z,12.4,8.7,10.7,26,252,2
1eaf17d58b0,2022,Ford,Bronco Raptor 4WD,SUV: Standard,3.0,6,AS10,X,15.7,14.8,15.3,18,358,3
daf99fe8002,2022,Land Rover,Range Rover P400,SUV: Standard,3.0,6,AS8,Z,13.3,10.2,11.9,24,279,4
2fdeb57c0d9,2022,Lamborghini,Aventador Ultimae Roadster,Two-seater,6.5,12,AM7,Z,26.8,15.1,21.5,13,498,0
6840f83115b,2022,Subaru,Impreza 5-Door AWD,Station wagon: Small,2.0,4,AV7,X,8.4,6.6,7.6,37,178,4
e38433dd427,2022,Aston Martin,DB11 V12,Minicompact,5.2,12,A8,Z,16.4,10.7,13.8,20,324,1
29325b2cff3,2022,BMW,X6 M Competition,SUV: Standard,4.4,8,AS8,Z,17.9,13.0,15.7,18,364,1
42432bdf09f,2022,Ford,F-150 FFV (Without Stop-Start),Pickup truck: Standard,5.0,8,AS10,E,20.1,14.1,17.4,16,289,2
5172c4f64f1,2022,Chrysler,Pacifica,Minivan,3.6,6,A9,X,12.4,8.4,10.6,27,249,2
819f5fc751c,2022,Porsche,911 Carrera 4 GTS Cabriolet,Minicompact,3.0,6,M7,Z,14.7,10.2,12.7,22,296,2
65537259170,2022,Toyota,Tundra,Pickup truck: Standard,3.4,6,AS10,X,13.1,10.1,11.8,24,277,2
ce7365d9cc2,2022,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,3.6,6,A8,X,15.0,13.0,14.1,20,329,3
77e525e0298,2022,BMW,X3 M Competition,SUV: Small,3.0,6,AS8,Z,15.7,11.7,13.9,20,323,1
021b65a06a7,2022,Land Rover,Range Rover Velar P400,SUV: Small,3.0,6,AS8,Z,12.6,9.6,11.3,25,265,4
cc2a0956652,2022,Chevrolet,Camaro SS,Subcompact,6.2,8,M6,Z,14.9,9.9,12.6,22,296,0
1318a48abac,2022,Ford,Escape Hybrid AWD,SUV: Small,2.5,4,AV,X,5.5,6.4,5.9,48,139,4
603aff0fe7b,2022,MINI,Cooper S Countryman ALL4,Mid-size,2.0,4,AS8,Z,10.4,7.5,9.1,31,212,4
5073fb479e7,2022,Mercedes-Benz,AMG GLE 63 S 4MATIC+ Coupe,SUV: Standard,4.0,8,A9,Z,16.4,12.8,14.8,19,346,2
ad0323a6670,2022,Mercedes-Benz,E 450 4MATIC Cabriolet,Subcompact,3.0,6,A9,Z,11.2,8.4,9.9,29,233,3
f8c58bbe669,2022,Mazda,Mazda3 5-Door (SIL),Mid-size,2.5,4,M6,X,9.6,7.1,8.4,34,198,4
fc15198697b,2022,Toyota,GR86,Minicompact,2.4,4,AS6,Z,11.1,7.7,9.6,29,224,1
